disease,tissue,cell type,cell line,sex
hepatocellular carcinoma,liver,,hep g2,male
hepatocellular carcinoma,,,hepg2,
hepatocellular carcinoma,,,hepg2,
hepatocellular carcinoma,,,hepg2,
hepatocellular carcinoma,,,hepg2,
hepatocellular carcinoma,,,hepg2,
hepatocellular carcinoma,,,hepg2,
hepatocellular carcinoma,,,hepg2,
hepatocellular carcinoma,,,hepg2,
hepatocellular carcinoma,,,hepg2,
hepatoma,liver,hepatocyte,li-7,male
hepatocellular carcinoma,,,hepg2,male
hepatocellular carcinoma,,,hepg2,male
hcc,liver,hcc,huh-7,not applicable
hcc,liver,hcc,huh-7,not applicable
hepatocellular carcinoma,liver,,,male
hepatocellular carcinoma,liver,,,male
carcinoma hepatocellular,liver,,plc/prf/5,unknown
carcinoma hepatocellular,liver,,snu-475,male
carcinoma hepatocellular,liver,,snu-449,male
carcinoma hepatocellular,liver,,snu-387,female
carcinoma hepatocellular,liver,,snu-423,male
carcinoma hepatocellular,liver,,huh-7,male
carcinoma hepatocellular,liver,,jhh-7,male
carcinoma hepatocellular,liver,,gs-hepg2,male
carcinoma hepatocellular,liver,,huh-7,male
carcinoma hepatocellular,liver,,hep g2,male
carcinoma hepatocellular,liver,,jhh-6,female
carcinoma hepatocellular,liver,,snu-423,male
carcinoma hepatocellular,liver,,snu-449,male
carcinoma hepatocellular,liver,,snu-475,male
carcinoma hepatocellular,liver,,snu-387,female
carcinoma hepatocellular,liver,,snu-398,male
carcinoma hepatocellular,liver,,jhh-5,male
carcinoma hepatocellular,liver,,hep 3b2.1-7,male
carcinoma hepatocellular,liver,,hle,male
carcinoma hepatocellular,liver,,huh-1,male
carcinoma hepatocellular,liver,,jhh-4,male
carcinoma hepatocellular,liver,,snu-182,male
carcinoma hepatocellular,liver,,plc/prf/5,unknown
carcinoma hepatocellular,liver,,jhh-1,female
carcinoma hepatocellular,liver,,jhh-2,male
hcc,hcc,hcc cell line,hcclm3,male
hepatocellular carcinoma,liver,,hepg2,male
hepatocellular carcinoma,liver,,hepg2,male
hepatocellular carcinoma,liver,,hepg3,male
hepatocellular carcinoma,liver,,hepg4,male
hepatocellular carcinoma,liver,,hepg5,male
hepatocellular carcinoma,liver,,hepg6,male
hepatocellular carcinoma,liver,,hepg7,male
hepatocellular carcinoma,liver,,,male
hepatocellular carcinoma,liver,,,male
hepatocellular carcinoma,blood,,,male
hepatocellular carcinoma,liver,,,male
hepatocellular carcinoma,liver,,,male
hepatocellular carcinoma,liver,,,male
hepatocellular carcinoma,liver,,,male
hepatocellular carcinoma,liver,,,male
hepatocellular carcinoma,liver,,,male
hepatocellular carcinoma,liver,,,male
hepatocellular carcinoma,liver,,,male
hepatocellular carcinoma,liver,,,male
hepatocellular carcinoma,blood,,,male
hepatocellular carcinoma,liver,,,male
hepatocellular carcinoma,liver,,,male
hepatocellular carcinoma,liver,,,male
hepatocellular carcinoma,liver,,,male
hepatocellular carcinoma,liver,,,male
hepatocellular carcinoma,blood,,,female
hepatocellular carcinoma,liver,,,female
hepatocellular carcinoma,liver,,,female
hepatocellular carcinoma,liver,,,female
hepatocellular carcinoma,liver,,,female
hepatocellular carcinoma,liver,,,female
hepatocellular carcinoma,liver,,,male
hepatocellular carcinoma,liver,,,male
hepatocellular carcinoma,liver,,,male
hepatocellular carcinoma,liver,,,male
hepatocellular carcinoma,liver,,,male
hepatocellular carcinoma,liver,,,male
hepatocellular carcinoma,liver,,,male
hepatocellular carcinoma,liver,,,male
hepatocellular carcinoma,liver,,,male
hepatocellular carcinoma,liver,,,male
hepatocellular carcinoma,liver,,,male
hepatocellular carcinoma,liver,,,male
hepatocellular carcinoma,liver,,,male
hepatocellular carcinoma,liver,,,male
hepatocellular carcinoma,liver,,,male
hepatocellular carcinoma,liver,,,male
hepatocellular carcinoma,liver,,,male
hepatocellular carcinoma,liver,,,male
hepatocellular carcinoma,liver,,,male
hepatocellular carcinoma,liver,,,male
hepatocellular carcinoma,liver,,,male
hepatocellular carcinoma,liver,,,male
hepatocellular carcinoma,liver,,,male
hepatocellular carcinoma,liver,,,male
hepatocellular carcinoma,liver,,,male
hepatocellular carcinoma,liver,,,male
hepatocellular carcinoma,blood,,,male
hepatocellular carcinoma,liver,,,male
hepatocellular carcinoma,liver,,,male
hepatocellular carcinoma,liver,,,male
hepatocellular carcinoma,liver,,,male
hepatocellular carcinoma,liver,,,male
hepatocellular carcinoma,liver,,,male
hepatocellular carcinoma,liver,,,male
hepatocellular carcinoma,liver,,,male
hepatocellular carcinoma,liver,,,male
hepatocellular carcinoma,blood,,,male
hepatocellular carcinoma,liver,,,male
hepatocellular carcinoma,liver,,,male
hepatocellular carcinoma,liver,,,male
hepatocellular carcinoma,liver,,,male
hepatocellular carcinoma,liver,,,male
hepatocellular carcinoma,blood,,,female
hepatocellular carcinoma,liver,,,female
hepatocellular carcinoma,liver,,,female
hepatocellular carcinoma,liver,,,female
hepatocellular carcinoma,liver,,,female
hepatocellular carcinoma,liver,,,female
hepatocellular carcinoma,liver,,,male
hepatocellular carcinoma,liver,,,male
hepatocellular carcinoma,liver,,,male
hepatocellular carcinoma,liver,,,male
hepatocellular carcinoma,liver,,,male
hepatocellular carcinoma,liver,,,male
hepatocellular carcinoma,liver,,,male
hepatocellular carcinoma,liver,,,male
hepatocellular carcinoma,liver,,,male
hepatocellular carcinoma,liver,,,male
hepatocellular carcinoma,liver,,,male
hepatocellular carcinoma,liver,,,male
hepatocellular carcinoma,liver,,,male
hepatocellular carcinoma,liver,,,male
hepatocellular carcinoma,liver,,,male
hepatocellular carcinoma,liver,,,male
hepatocellular carcinoma,liver,,,male
hepatocellular carcinoma,liver,,,male
hepatocellular carcinoma,liver,,,male
hepatocellular carcinoma,liver,,,male
hepatocellular carcinoma,liver,,,male
hepatocellular carcinoma,liver,,,male
hepatocellular carcinoma,liver,,,male
hepatocellular carcinoma,liver,,,male
hepatocellular carcinoma,liver,,,male
hepatocellular carcinoma,liver,,,male
hepatocellular carcinoma,hepatocellular carcinoma,,hepg2,male
hepatocellular carcinoma,liver,,,female
hepatocellular carcinoma,liver,,,female
hepatocellular carcinoma,liver,,,male
hepatocellular carcinoma,liver,,,male
hepatocellular carcinoma,liver,,,female
hepatocellular carcinoma,liver,,,female
hepatocellular carcinoma,liver,,,male
hepatocellular carcinoma,liver,,,male
hepatocellular carcinoma,liver,,,male
hepatocellular carcinoma,liver,,,male
hepatocellular carcinoma,liver,,,male
hepatocellular carcinoma,liver,,,male
hepatocellular carcinoma,liver,,,male
hepatocellular carcinoma,liver,,,male
hepatocellular carcinoma,liver,,,male
hepatocellular carcinoma,liver,,,male
hepatocellular carcinoma,liver,,,male
hepatocellular carcinoma,liver,,,male
hepatocellular carcinoma,,,,male
hepatocellular carcinoma,,,,male
hepatocellular carcinoma,,,,male
hepatocellular carcinoma,,,,male
hepatocellular carcinoma,,,,male
hepatocellular carcinoma,non-cancerous liver tissue,,,male
hepatocellular carcinoma,non-cancerous liver tissue,,,male
hepatocellular carcinoma,non-cancerous liver tissue,,,female
hepatocellular carcinoma,non-cancerous liver tissue,,,male
hepatocellular carcinoma,non-cancerous liver tissue,,,male
hepatocellular carcinoma,cancerous liver tissue,,,male
hepatocellular carcinoma,cancerous liver tissue,,,male
hepatocellular carcinoma,non-cancerous liver tissue,,,male
hepatocellular carcinoma,cancerous liver tissue,,,female
hepatocellular carcinoma,non-cancerous liver tissue,,,male
hepatocellular carcinoma,cancerous liver tissue,,,male
